name	address	city	area	averagePriceUnit	averagePrice	buildingTime	propertyFee	propertyCompany	developerName	roomAmount	buildingAmount	volumeRate	greeningRate
中福花苑	海潮路3号,海潮路33号,海潮路93弄,陆家浜路388号,陆家浜路418号	上海	黄浦	元/平	89651	2003年建	暂无信息	暂无信息	暂无信息	1482户	10栋	4.2	30.0%
中福世福汇	山东中路33号	上海	黄浦	元/平	64550	2004年建	暂无信息	暂无信息	暂无信息	729户	5栋	0.0	0.0%
阳光葡提公馆	宝乐路58弄	上海	嘉定	元/平	21490	2015年建	暂无信息	暂无信息	暂无信息	646户	8栋	3.2	35.0%
金鹤新城双佳翠庭	金园一路1118弄	上海	嘉定	元/平	37756	2007年建	暂无信息	暂无信息	暂无信息	2704户	170栋	1.8	35.0%
蒙西小区	蒙自西路28弄,蒙自西路62弄,蒙自西路72弄,丽园路857-893号（单号）,蒙自西路2-82号（双号）	上海	黄浦	元/平	76060	1996年建	暂无信息	暂无信息	暂无信息	1445户	60栋	3.8	30.0%
水岸金桥苑	鹤霞路555弄	上海	嘉定	元/平	38386	2008年建	暂无信息	暂无信息	暂无信息	3108户	84栋	2.3	40.0%
怡水豪庭	南苏州路933号	上海	黄浦	元/平	50490	2008年建	暂无信息	暂无信息	暂无信息	319户	3栋	8.02	15.9%
静安枫景苑	常德路500弄	上海	静安	元/平	107139	2005年建	暂无信息	暂无信息	暂无信息	1143户	11栋	4.0	50.0%
三和花园	延平路123弄	上海	静安	元/平	68762	1997年建	暂无信息	暂无信息	暂无信息	1343户	15栋	5.5	35.0%
慧芝湖花园	平型关路1083弄（一、二期）,平型关路1088弄（三期）,平型关路1018号	上海	闸北	元/平	87168	2014年建	暂无信息	暂无信息	暂无信息	3431户	38栋	2.5	50.0%
瑞虹新城（一期）	临平路333号	上海	虹口	元/平	73370	2002年建	暂无信息	暂无信息	暂无信息	1719户	11栋	4.5	40.0%
阳城贵都	阳城路280弄	上海	闸北	元/平	66181	2010年建	暂无信息	暂无信息	暂无信息	1337户	63栋	2.5	45.0%
宁和小区	大宁路540弄,大宁路570号,大宁路574号,大宁路582号	上海	闸北	元/平	78941	1995年建	暂无信息	暂无信息	暂无信息	1432户	73栋	1.6	25.0%
柳营路1025弄	柳营路1025弄,谈家桥路172弄	上海	闸北	元/平	56481	1994年建	暂无信息	暂无信息	暂无信息	1538户	69栋	2.3	26.0%
赤峰小区	赤峰路370弄,曲阳路610弄,曲阳路620号,曲阳路630弄,曲阳路640号,曲阳路650号	上海	虹口	元/平	67619	1994年建	暂无信息	暂无信息	暂无信息	3551户	59栋	1.8	30.0%
龙潭小区	沪太路1170弄,灵石路1123弄,灵石路1201弄	上海	闸北	元/平	49331	2001年建	暂无信息	暂无信息	暂无信息	3686户	167栋	2.0	27.0%
共康四村	长临路380弄	上海	闸北	元/平	42655	1997年建	暂无信息	暂无信息	暂无信息	3931户	183栋	1.8	35.0%
中海翡翠湖岸	业辉路88弄（一期）,业辉路89弄（二、三期）,业辉路86弄（四期）	上海	青浦	元/平	46758	2009年建	暂无信息	暂无信息	暂无信息	278户	279栋	1.3	60.0%
佳乐苑	华盈路685弄	上海	青浦	元/平	23833	2005年建	暂无信息	暂无信息	暂无信息	2465户	175栋	1.2	35.0%
金地天御	叶联路333弄	上海	青浦	元/平	49411	2011年建	暂无信息	暂无信息	暂无信息	520户	38栋	1.2	45.0%
沁风雅泾	东徐联路588弄	上海	青浦	元/平	57512	2010年建	暂无信息	暂无信息	暂无信息	168户	169栋	0.35	61.0%
中心公馆	江海路388弄8号,南奉公路9777弄18号	上海	奉贤	元/平	21766	2012年建	暂无信息	暂无信息	暂无信息	542户	3栋	4.0	20.0%
合生御廷园（别墅）	巷居路99弄	上海	青浦	元/平	42703	2012年建	暂无信息	暂无信息	暂无信息	519户	283栋	0.8	40.0%
民乐佳苑	盈港路1750弄,盈港路1755弄,盈港路1880弄	上海	青浦	元/平	21924	2006年建	暂无信息	暂无信息	暂无信息	4671户	364栋	2.1	38.0%
万科晶源	郡峰路9号	上海	青浦	元/平	60896	2010年建	暂无信息	暂无信息	暂无信息	287户	141栋	1.5	40.0%
万寿新村（金山）	金山卫镇万寿新村	上海	金山	元/平	6240	2004年建	暂无信息	暂无信息	暂无信息	414户	36栋	0.0	0.0%
石化九村	象州路70号	上海	金山	元/平	8279	1981年建	暂无信息	暂无信息	暂无信息	1349户	72栋	0.75	47.0%
城西花苑	北泰路318弄	上海	金山	元/平	7944	2009年建	暂无信息	暂无信息	暂无信息	732户	61栋	0.0	0.0%
东风三村	东风三村	上海	崇明	元/平	8043	1994年建	暂无信息	暂无信息	暂无信息	665户	41栋	0.0	0.0%
云澜湾七里别墅	嘉善大雲温泉大道888号	上海	上海周边	无	无	1900年建	暂无信息	暂无信息	暂无信息	1户	1栋	0.0	0.0%
西塘恒隆商业广场	祥符南路426号	上海	上海周边	无	无	1900年建	暂无信息	暂无信息	暂无信息	2户	2栋	0.0	0.0%
百合春天	嘉善县阳光西路1283号	上海	上海周边	无	无	1900年建	暂无信息	暂无信息	暂无信息	1户	1栋	0.0	0.0%
唐家湾路211号	唐家湾路211号	上海	崇明	无	无	1900年建	暂无信息	暂无信息	暂无信息	1户	2栋	0.0	0.0%
竖新南路280弄	竖新南路280弄	上海	崇明	无	无	2002年建	暂无信息	暂无信息	暂无信息	9户	4栋	0.0	0.0%
堡镇南路131号	堡镇南路131号	上海	崇明	无	无	1900年建	暂无信息	暂无信息	暂无信息	0户	1栋	0.0	0.0%
南坝新村	南坝新村	上海	崇明	无	无	1900年建	暂无信息	暂无信息	暂无信息	0户	1栋	0.0	0.0%
管弄	城桥镇管弄	上海	崇明	无	无	1900年建	暂无信息	暂无信息	暂无信息	2户	2栋	0.0	0.0%
星辰园（公寓）	梅家浜路1505弄	上海	松江	元/平	34942	2006年建	暂无信息	暂无信息	暂无信息	1245户	18栋	1.3	48.0%
山水景苑	龙源路1208弄	上海	松江	元/平	32849	2006年建	暂无信息	暂无信息	暂无信息	557户	132栋	0.8	42.0%
瑞苑公寓	浦东大道3号	上海	浦东	元/平	74438	2001年建	暂无信息	暂无信息	暂无信息	252户	3栋	4.4	25.0%
东明广场	张杨路628弄1-3号	上海	浦东	元/平	53285	1996年建	暂无信息	暂无信息	暂无信息	304户	4栋	1.6	25.0%
东园二村	东园二村	上海	浦东	元/平	79074	1999年建	暂无信息	暂无信息	暂无信息	771户	20栋	3.0	15.0%
